edgenum,pointnum1,pointnum2,x_difference,y_difference
49,423,4808,1.65625,12.734356852497115
50,423,538,10.914351851851848,0.3152100271002496
51,538,444,0.36071589882566,13.840277777777771
52,444,4316,18.575626693766935,1.8252314814814667
53,444,537,0.36071589882566,13.557870370370381
54,537,4317,13.045138888888886,0.15856481481483797
55,4317,4317A,0.0,3.824074074074076
56,537,447,0.11071589882566002,20.925925925925924
57,447,4311,7.756859756097569,5.7317355465220885
58,4311,446,0.6415142276422827,14.898119918699138
59,446,4313,8.138392857142854,0.32263437217704904
60,4311,4311A,11.669407489529434,6.856707317073187
61,4311,4311B,11.417513550135496,2.4430329719964448
62,4311,4311C,11.667513550135496,7.3347448057813835
63,447,428,0.0,1.7592592592592382
64,428,4312,12.501552619692859,6.334490740740705
65,428,414,0.0,9.814814814814838
66,414,4308,18.825626693766935,0.771990740740705
67,4308,4308A,0.09722222222222854,16.315476190476204
68,414,438,0.0,19.9444444444444
69,438,4305,12.51696589882566,6.589120370370324
70,538,443,20.66666666666667,0.25626693766935205
71,443,441,0.7692524841915116,15.082655826558266
72,441,4514,18.852275293586274,2.1770833333333144
73,441,4501,25.258835817524854,7.6192129629629335
74,441,442,0.0,18.016203703703695
75,442,4510,11.083756775067755,7.90988756613757
76,442,4505,25.258835817524854,4.505125661375644
77,4505,524,18.497189153439145,15.893022486772509
78,442,523,0.5995934959349682,20.398148148148152
79,524,523,43.15643147502903,0.0
80,443,525,40.84656084656085,0.059959349593498246
81,525,501,0.17283681765388792,36.98686120789779
82,501,4721,13.495317944250871,1.910218253968253
83,501,449,0.0,6.23908730158729
84,449,502,0.0,5.754742547425508
85,502,4725,12.911984610917543,2.6144704155374825
86,502,439,0.0,5.418868563685635
87,525,426,7.755291005291014,0.19207317073170316
88,426,4815,18.57218270099368,7.379432023486913
89,426,377,13.324074074074048,0.0
90,377,437,0.8335027100270906,53.94348464317977
91,377,379,1.5092592592592666,0.0
92,379,4819,4.153483514001806,10.904217479674799
93,379,403,5.8171296296296475,0.0
94,403,4823,3.780403116531147,10.805357949412837
95,403,375,19.094246031746025,0.0
96,375,4825,3.345709930313575,19.723323170731703
97,375,374,2.4312169312169374,0.0
98,374,4824,1.5062079124579384,16.677959419680406
99,4824,4826,4.23879034244888,25.9218881412952
100,374,372,17.75,0.0
101,372,4624,4.258733164983198,16.067730235492036
102,372,4828,4.9859115581098195,17.18419715447152
103,4828,4828A,6.913183559735273,23.666666666666686
104,4828A,4828B,11.569895382395373,0.14735772357721544
105,372,539,21.556878306878303,0.17225609756098947
106,539,568,11.608631285714267,0.9270829999999819
107,568,4910,15.420731373983728,13.08692562068967
108,568,4912,0.07926862601627249,41.697662934959396
109,4912,4912A,12.483308696723356,10.522357723577272
110,539,378,0.16693722943722378,13.069444444444457
111,378,4911,11.646179785661502,3.850694444444457
112,378,369,0.0,6.166666666666629
113,369,4909,11.989583333333343,2.4195075757576205
114,369,540,0.16693722943722378,10.673611111111143
115,540,380,23.667989417989418,0.9190379403793827
116,380,4624,2.147622053872084,14.933286024670565
117,380,4903,7.530685411020755,16.571900406504085
118,380,358,18.070105820105823,0.0
119,358,4825,3.345709930313575,11.277693089430898
120,4825,4825A,8.599593495934954,0.09654471544718035
121,358,4623,0.9178644018582816,35.7233231707317
122,4623,4623A,8.599593495934954,18.48994252873564
123,358,360,8.57804232804233,0.0
124,360,4619,0.07726400180669657,8.403878726287303
125,360,361,9.93386243386243,0.23373983739838877
126,361,4616,3.444279100529087,9.846064814814838
127,361,362,6.749007936507951,0.0
128,362,4614,4.151199494949481,9.260416666666686
129,362,363,7.900462962962962,0.0
130,363,4617,1.90988756613757,8.898119918699194
131,4617,4617A,11.082010582010582,0.09654471544718035
132,363,503,6.6898148148148096,0.0
133,503,4610,3.3164511494252906,10.337652439024396
134,503,4615,11.93642241379311,32.648119918699194
135,4615,4615A,13.403139893467909,23.610141575553712
136,4615,4615B,1.656435040055726,21.83914859981934
137,503,364,20.14351851851852,0.07520325203250877
138,364,4608,3.767248193315268,10.262449186991887
139,364,368,9.606481481481481,0.0
140,368,4607,11.432672764227647,14.073624969204218
141,4607,4607A,6.182926829268297,45.16035353535358
142,368,366,1.6666666666666714,0.0
143,366,4606,2.9365530303030454,12.01097099039174
144,366,365,6.060185185185176,0.0
145,365,4605,3.8282076719576708,8.062471770551042
146,4605,4605A,0.154761904761898,11.851851851851848
147,365,527,21.088173400673398,1.5838876570584262
148,527,537,10.597011784511793,2.6858164983164556
149,540,201,37.57738095238096,0.16765873015873467
150,201,4630,0.05208333333337123,15.694279100529116
151,4630,4630A,21.680555555555543,0.1440266485998336
152,201,203,11.699074074074076,0.0
153,203,4636,4.233961640211646,15.934850464576073
154,4636,4636A,1.3068783068783318,25.572154471544707
155,203,541,20.068783068783034,0.16765873015873467
156,541,204,16.005291005291042,0.15972222222222854
157,204,3603,12.373955510388384,13.772273035230342
158,204,185,4.149470899470884,0.0
159,185,3602,10.828869047619037,28.76431233062334
160,3602,3602A,1.1153455284552933,39.070121951219505
161,3602A,3602B,29.937946538556332,0.0
162,3602A,3334,47.71798780487802,4.079478553406204
163,3602,3324,22.681186868686893,17.926829268292636
164,3602,3602C,21.67123983739839,12.007052229613237
165,3324,3322,0.08718280364621478,16.01524390243901
166,3324,3320,13.516475732939114,15.928830992855353
167,3324,3316,28.667929292929273,0.14735772357727228
168,3324,3334,26.15214646464642,25.222771236333074
169,3334,3326,24.743055555555543,8.481147683733866
170,3316,3334,2.515782828282852,25.0754135127558
171,3316,3318,0.4302943225357012,16.413309928553872
172,3334,3338,24.506465517241395,6.753911238825026
173,3338,3340,0.9092432950191665,15.072180134680139
174,3338,3724,22.251436781609186,8.988877597109308
175,3340,3724,23.160680076628353,6.08330253757083
176,3724,3716,0.9411717752234949,23.32621951219511
177,3716,3342,24.188341750841744,1.9105691056910814
178,3716,3716A,12.441452122854571,15.59686010653212
179,3716,3624,7.384259259259295,32.435940566302236
180,3624,3624A,17.782012195121922,2.990334378265402
181,3624,3624B,17.585488505747094,6.767241379310349
182,3624,3624C,17.396849593495972,8.085693760262757
183,3624,3624D,17.980182926829286,4.497639573070558
184,3724,3706,33.33333333333337,9.414634146341427
185,3706,3728,25.91949669104838,21.757113821138205
186,3706,3730,26.002873563218373,3.7347560975609326
187,3706,3732,25.420759317311024,13.677506775067798
188,3706,3714,7.225890103728659,29.5084454723858
189,185,205,19.26190476190476,0.006944444444457076
190,205,3603,11.03742015098726,13.765328590785884
191,205,184,2.3988095238095184,0.016203703703752126
192,184,3612,5.437859195402325,16.74800084175081
193,184,206,21.180555555555543,0.01719576719580118
194,206,3615,0.12203590785907181,12.447916666666686
195,206,183,3.175925925925924,0.01719576719580118
196,183,3614,2.5721827009936646,12.931882339656738
197,183,543,7.078042328042329,0.1504629629629335
198,543,394,0.07337848932678526,7.332341269841265
199,394,3302,11.103632253994988,4.513933982683966
200,394,393,0.0,11.165343915343954
201,393,3303,10.063034412671698,2.763408988256515
202,393,3304,10.853704844006586,1.590644760614225
203,393,392,0.0,8.417989417989418
204,392,3306,11.929851766190097,5.842826354679801
205,392,390,3.1514208173691145,3.5969516594516335
206,392,389,2.4133939974457235,3.5969516594516335
207,390,3316,9.496948653198615,16.16615083764475
208,389,3342,5.933186026936028,17.59094758561224
209,543,542,5.649440836940869,0.0
210,542,171,36.26722582972582,0.16765873015873467
211,171,3426,1.045913182346112,22.60173490127761
212,171,162,6.329365079365061,0.0
213,162,3624,8.253472222222172,13.924722906403929
214,162,163,17.018518518518533,0.0013227513227320742
215,163,3630,3.0059564137308143,10.935711279461259
216,163,547,12.068783068783091,0.16898148148146674
217,547,165,18.083333333333314,0.16898148148146674
218,547,383,1.5924070847851226,7.518970189701918
219,383,3738,11.746189024390276,8.8427337398374
220,383,384,0.0,9.158609175377478
221,384,3702,10.849129170171011,2.6729457026712566
222,384,357,0.0,10.681216931216909
223,357,3704,9.23450203252031,4.675671860885302
224,357,382,0.0,3.1402116402116462
225,382,3734,13.166920731707307,0.22876742160281083
226,382,3706,13.925278595458337,29.60558217189316
227,540,200,0.5714285714285836,17.006944444444457
228,200,4906,20.451524170274183,3.9024621212121247
229,4906,4906A,0.0,20.0151515151515
230,200,199,0.0,8.726851851851848
231,199,4903,15.565875435540079,8.242857949412837
232,199,510,0.5714285714285836,21.68287037037038
233,510,4901,16.963523519163772,0.19097222222222854
234,510,187,5.827380952380935,0.07638888888891415
235,187,4401,1.3986742424242493,10.693497474747517
236,187,188,11.365740740740762,0.0
237,188,4403,7.865004208754186,11.09375
238,4403,4403A,11.671717171717148,3.9918699186991944
239,4403,4403B,11.74747474747474,3.3333333333333144
240,188,189,19.391203703703667,0.004629629629619103
241,189,4408,13.462436868686893,25.73116582491582
242,189,190,9.932870370370381,0.0
243,190,4405,3.6320496632996537,11.021359427609411
244,190,191,4.90046296296299,0.0
245,191,4407,8.220012626262587,11.021359427609411
