pointnum,type,x_position,y_position
1,entrance,292.09722222222223,71.09722222222223
2,entrance,38.00595238095238,123.59027777777777
3,entrance,15.282407407407407,123.59722222222223
4,entrance,4.75,123.59722222222223
5,entrance,3.7546296296296298,83.17361111111111
7,entrance,15.256944444444445,83.18055555555556
8,entrance,38.86574074074074,83.18055555555556
9,entrance,43.61574074074074,83.18055555555556
10,entrance,47.84027777777778,83.18981481481481
11,entrance,69.58333333333333,62.166666666666664
12,entrance,69.58522727272727,27.59027777777778
13,entrance,110.66666666666667,27.60648148148148
15,entrance,134.9398148148148,27.601190476190474
16,entrance,138.67261904761904,27.601190476190474
17,entrance,180.9345238095238,27.601190476190474
18,entrance,186.50694444444446,27.601190476190474
19,entrance,201.69907407407408,27.601190476190474
20,entrance,195.10119047619048,27.601190476190474
21,entrance,209.75595238095238,27.601190476190474
22,entrance,221.4212962962963,27.601190476190474
23,entrance,241.61574074074073,27.601190476190474
24,entrance,247.75694444444446,27.601190476190474
25,entrance,234.01388888888889,27.601190476190474
26,entrance,228.11574074074073,10.782407407407408
27,entrance,228.11574074074073,3.0324074074074074
28,entrance,69.51785714285714,149.09722222222223
29,entrance,47.75,123.59027777777777
31,entrance,60.61574074074074,123.59027777777777
32,entrance,69.58333333333333,135.86574074074073
34,entrance,368.93981481481484,49.351190476190474
36,entrance,228.09027777777777,152.68055555555554
38,entrance,230.43055555555554,68.61574074074075
39,entrance,228.10119047619048,52.0
41,entrance,233.84027777777777,71.09027777777777
42,entrance,228.1712962962963,89.11574074074075
43,entrance,228.1712962962963,93.18452380952381
44,entrance,217.58333333333334,71.09722222222223
45,entrance,209.75694444444446,71.09722222222223
47,entrance,201.51785714285714,71.09722222222223
48,entrance,197.44907407407408,71.08796296296296
49,entrance,193.02314814814815,71.08796296296296
50,entrance,186.52314814814815,71.08796296296296
51,entrance,173.67361111111111,71.08796296296296
52,entrance,170.44907407407408,71.08796296296296
53,entrance,165.34027777777777,71.08796296296296
54,entrance,135.50462962962962,71.08928571428571
55,entrance,115.50462962962963,73.01388888888889
56,entrance,93.00694444444444,83.18981481481481
57,entrance,69.58333333333333,100.69907407407408
58,entrance,69.50694444444444,105.77314814814815
59,entrance,83.00694444444444,124.25694444444444
60,entrance,69.58333333333333,142.08333333333334
63,entrance,495.75694444444446,38.18055555555556
64,entrance,464.3392857142857,38.18055555555556
65,entrance,426.25,38.166666666666664
66,entrance,404.9490740740741,38.166666666666664
67,entrance,383.5046296296296,38.166666666666664
72,entrance,514.0324074074074,38.18055555555556
74,entrance,462.4236111111111,47.25694444444444
75,entrance,523.3392857142857,38.18055555555556
76,entrance,368.5833333333333,80.44907407407408
77,entrance,368.5833333333333,87.83333333333333
78,entrance,368.5833333333333,102.59027777777777
79,entrance,368.5833333333333,109.75
81,entrance,368.5833333333333,132.5
82,entrance,368.5892857142857,136.67261904761904
84,entrance,371.9236111111111,1.8402777777777777
85,entrance,368.5892857142857,17.506944444444443
86,entrance,368.5892857142857,26.17361111111111
87,entrance,440.68981481481484,284.4345238095238
88,entrance,440.68981481481484,287.7546296296296
89,entrance,440.68981481481484,297.2824074074074
90,entrance,440.68981481481484,306.17261904761904
91,entrance,440.68981481481484,316.337962962963
92,entrance,440.68981481481484,317.5892857142857
93,entrance,440.68981481481484,330.0324074074074
94,entrance,440.68981481481484,334.92261904761904
95,entrance,440.68981481481484,347.11574074074076
96,entrance,440.68981481481484,352.9166666666667
97,entrance,440.68981481481484,362.4345238095238
98,entrance,440.6990740740741,369.9345238095238
99,entrance,219.75595238095238,316.93623737373736
100,entrance,219.75595238095238,307.67261904761904
101,entrance,219.75462962962962,295.51785714285717
102,entrance,219.75462962962962,283.6990740740741
103,entrance,219.75462962962962,272.087962962963
104,entrance,219.75462962962962,262.6712962962963
105,entrance,219.75462962962962,245.44907407407408
106,entrance,228.11574074074073,175.34027777777777
114,entrance,323.43981481481484,337.5046296296296
131,entrance,458.2638888888889,345.6845238095238
133,entrance,249.25462962962962,314.0892857142857
134,entrance,440.68981481481484,271.0892857142857
135,entrance,280.01785714285717,264.01785714285717
136,entrance,461.1712962962963,240.94907407407408
137,entrance,346.1011904761905,137.67361111111111
138,entrance,338.7546296296296,143.1712962962963
144,entrance,406.6666666666667,182.01388888888889
151,entrance,339.60648148148147,213.00694444444446
152,entrance,319.59027777777777,264.6666666666667
153,entrance,349.93981481481484,264.67261904761904
154,entrance,388.85648148148147,264.6712962962963
155,entrance,420.92261904761904,264.6712962962963
156,entrance,457.01785714285717,264.6712962962963
157,entrance,457.837962962963,178.03240740740742
158,entrance,246.84785353535352,264.0324074074074
160,entrance,440.6845238095238,241.03240740740742
162,entrance,411.18055555555554,384.67261904761904
163,entrance,428.1990740740741,384.6712962962963
165,entrance,458.3511904761905,384.6712962962963
167,entrance,289.5324074074074,270.5324074074074
168,entrance,289.5324074074074,258.4166666666667
169,entrance,289.5833333333333,221.92261904761904
170,entrance,289.5892857142857,204.4223484848485
171,entrance,404.8511904761905,384.67261904761904
172,entrance,289.51785714285717,189.4212962962963
174,entrance,273.68055555555554,162.6712962962963
175,entrance,268.09722222222223,162.6712962962963
176,entrance,262.2824074074074,162.67361111111111
177,entrance,253.91666666666666,162.67361111111111
178,entrance,245.83796296296296,162.67361111111111
179,entrance,233.77314814814815,162.67361111111111
182,entrance,289.51785714285717,175.09027777777777
183,entrance,355.85648148148147,384.68981481481484
184,entrance,331.5,384.68981481481484
185,entrance,309.8392857142857,384.68055555555554
187,entrance,226.16666666666666,337.5
188,entrance,237.53240740740742,337.5
189,entrance,256.9236111111111,337.5046296296296
190,entrance,266.85648148148147,337.5046296296296
191,entrance,271.75694444444446,337.5046296296296
192,entrance,305.4166666666667,337.52314814814815
193,entrance,329.0,337.5138888888889
194,entrance,352.52314814814815,337.5138888888889
195,entrance,383.4236111111111,337.5138888888889
196,entrance,404.76785714285717,337.5138888888889
197,entrance,420.84722222222223,337.5138888888889
198,entrance,426.1990740740741,337.5138888888889
199,entrance,219.76785714285714,359.10648148148147
200,entrance,219.76785714285714,367.8333333333333
201,entrance,257.9166666666667,384.67261904761904
203,entrance,269.61574074074076,384.67261904761904
204,entrance,305.68981481481484,384.68055555555554
205,entrance,329.1011904761905,384.6736111111111
206,entrance,352.68055555555554,384.67261904761904
207,entrance,228.11574074074073,148.17261904761904
208,entrance,228.09722222222223,109.17129629629629
211,entrance,440.6736111111111,54.267857142857146
212,entrance,440.6990740740741,83.16666666666667
213,entrance,440.6990740740741,86.00595238095238
214,entrance,440.6990740740741,98.26785714285714
215,entrance,440.68981481481484,110.51785714285714
216,entrance,440.68981481481484,113.11574074074075
217,entrance,440.6845238095238,127.93055555555556
218,entrance,440.6845238095238,137.33928571428572
219,entrance,440.6845238095238,142.9212962962963
220,entrance,440.6845238095238,157.94907407407408
221,entrance,440.6845238095238,162.67261904761904
222,entrance,440.6845238095238,169.83333333333334
223,entrance,440.6845238095238,176.17361111111111
224,entrance,440.6845238095238,184.75595238095238
225,entrance,440.6845238095238,188.5
227,entrance,440.6845238095238,194.43055555555554
228,entrance,440.6845238095238,198.42261904761904
229,entrance,440.6845238095238,208.26388888888889
230,entrance,440.6845238095238,212.68055555555554
231,entrance,440.6845238095238,215.67361111111111
232,entrance,440.6736111111111,1.4226190476190477
233,entrance,440.6845238095238,235.58333333333334
234,entrance,368.587962962963,316.2638888888889
235,entrance,368.59027777777777,216.85119047619048
237,entrance,263.587962962963,71.25694444444444
239,entrance,273.26785714285717,71.25694444444444
240,entrance,279.86574074074076,71.25694444444444
242,entrance,294.9490740740741,71.25694444444444
243,entrance,317.42261904761904,71.25694444444444
244,entrance,331.8333333333333,71.25694444444444
245,entrance,336.6990740740741,71.25694444444444
246,entrance,354.7546296296296,71.25694444444444
247,entrance,379.59722222222223,71.27314814814815
248,entrance,383.2559523809524,71.27314814814815
249,entrance,404.86574074074076,71.27314814814815
